Position,Name,Prospect,School,Height,Weight,Arm length,Hand size,Wingspan,40-yard dash,10-yard split,Vertical,Broad,Shuttle,3- Cone,Cmp,PassAtt,Pct,PassYds,Y/A,AY/A,PassTD,Int,Rate,RushAtt,RushYds,RushAvg,RushTD,YP,
QB,Mitch Trubisky,0,North Carolina,602,222,32,9.5,,4.67,,27.5,116,4.25,6.87,386,572,67.5,4762,8.3,9,41,10,157.6,120,439,3.7,8,3
QB,Matthew Stafford,0,Georgia,602,225,,,,4.81,,30.5,107,4.47,7.06,564,987,57.1,7731,7.8,7.4,51,33,133.3,141,213,1.5,6,3
QB,Nathan Peterman,0,Pittsburgh,602,226,32.375,9.875,,4.82,,31,110,4.31,7.14,398,662,60.1,5236,7.9,8.2,47,17,144.9,172,525,3.1,5,4
QB,Jalen Hurts,0,Oklahoma,601,222,31.75,9.75,,4.59,,35,125,,,682,1047,65.1,9477,9.1,9.7,,20,162.6,614,3274,5.3,43,4
QB,Jack Coan,0,Notre Dame,603,218,31.125,9.5,74.875,4.9,1.67,33,115,4.39,6.95,550,823,66.8,6428,7.8,8.2,48,15,148,133,-111,-0.8,7,4
QB,Matt Corral,0,Mississippi,602,212,30.75,9.675,74.5,,,,,,,614,912,67.3,8287,9.1,9.2,57,23,159.2,334,1338,4,18,4
QB,Dustin Crum,0,Kent St.,601,210,31.75,9.375,77.375,4.75,1.63,32.5,120,4.36,,576,864,66.7,7420,8.6,9.2,55,12,157,477,2071,4.3,24,5
QB,Kaleb Eleby,0,Western Michigan,601,208,30.375,9.25,75.75,,,25.5,111,,7.57,421,662,63.6,6084,9.2,9.8,45,11,159.9,150,75,0.5,13,3
QB,Sam Howell,0,North Carolina,601,218,30.75,9.125,75.5,,,,,,,713,1117,63.8,10283,9.2,9.9,92,23,164.2,369,1009,2.7,17,3
QB,Cole Kelley,0,Southeastern Louisiana,607,249,33.75,9.875,81.25,,,,,,,112,218,56,1493,6.8,6.2,13,9,124.9,81,147,1.8,5,2
QB,D'Eriq King,0,Miami,509,196,28.875,9.25,71.125,,,,,,,661,1048,63.1,8378,8,8.6,76,19,150.5,423,2055,4.9,32,6
QB,Kenny Pickett,0,Pittsburgh,603,217,30.875,8.5,73.75,4.73,1.59,33.5,121,4.29,,1045,1674,62.4,12303,7.3,7.5,81,32,136.3,416,809,1.9,20,5
QB,Brock Purdy,0,Iowa St.,601,212,29,9.25,70.125,4.84,1.55,27,,4.45,7.21,993,1467,67.7,12170,8.3,8.4,81,33,151.1,365,1177,3.2,19,4
QB,Desmond Ridder,0,Cincinnati,603,211,32.75,10,79,4.52,1.59,36,127,4.29,7.15,810,1304,62.1,10239,7.9,8.2,87,28,145.8,501,2180,4.4,28,4
QB,Carson Strong,0,Nevada,603,226,32,9.125,76,,,,,,,852,1251,68.1,9368,7.5,8,74,19,147.5,139,-305,-2.2,0,4
QB,Skylar Thompson,0,Kansas St.,602,217,31,8.675,74.675,4.91,1.62,31,112,4.28,7,552,885,62.4,7124,8,8.2,42,16,142,355,1087,3.1,26,5
QB,Malik Willis,0,Liberty,601,219,31.75,9.5,77.375,,,,,,,388,618,62.8,5176,8.4,8.6,48,18,152.9,366,2131,5.8,29,4
QB,Bailey Zappe,0,Western Kentucky,601,215,31.375,9.75,74.75,4.88,1.67,30,109,4.4,7.19,475,686,69.2,5967,8.7,9.8,62,11,169.9,51,17,0.3,3,1
QB,Ian Book,0,Notre Dame,600,211,31.25,9.875,75.875,4.65,1.71,32.5,115,4.19,6.99,728,1141,63.8,8948,7.8,8.3,72,20,147,361,1517,4.2,17,4
QB,Sam Ehlinger,0,Texas,601,220,30.375,9.75,75.125,4.84,1.71,36.5,114,4.44,7.15,923,1476,62.5,11436,7.7,8.2,94,27,145,554,1903,3.4,33,4
QB,Justin Fields,0,Ohio St.,602,227,32.5,9.125,74.75,4.45,1.59,,,,,423,618,68.4,5701,9.2,10.7,67,9,178.8,260,1133,4.4,19,3
QB,Feleipe Franks,0,Arkansas,606,234,31.5,9.75,,4.61,,32.5,117,4.22,7.16,530,860,61.6,6700,7.8,8,55,21,143.3,294,642,2.2,9,4
QB,Mac Jones,0,Alabama,602,217,32.675,9.75,79.125,4.72,1.7,32,116,4.39,7.04,413,556,74.3,6126,11,12.5,56,7,197.6,54,42,0.8,2,3
QB,Trey Lance,0,North Dakota St.,603,224,31.5,9.125,76.75,,,,,,,208,318,65.4,2947,9.3,11,30,1,173.8,192,1325,6.9,18,3
QB,Trevor Lawrence,0,Clemson,605,213,31.5,10,78.25,,,,,,,758,1138,66.6,10098,8.9,9.8,90,17,164.3,231,943,4.1,18,3
