id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock.minutes,clock.seconds,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock
401403932101865701,Arkansas,SEC,Liberty,FBS Independents,Arkansas,Liberty,0,0,401403932,4014039321,1,5,1,13,42,3,3,27,73,4,8,false,0,Punt,Reid Bauer punt for 45 yds,,2022-11-05T20:04:00.000Z
401403932101888901,Liberty,FBS Independents,Arkansas,SEC,Arkansas,Liberty,0,0,401403932,4014039322,2,9,1,11,10,3,3,47,47,4,8,false,0,Punt,Aidan Alves punt for 39 yds,,2022-11-05T20:09:35.000Z
401403932101916501,Arkansas,SEC,Liberty,FBS Independents,Arkansas,Liberty,0,0,401403932,4014039323,3,6,1,8,34,3,3,43,57,4,8,false,0,Punt,"Reid Bauer punt for 43 yds, downed at the Liber 7",,2022-11-05T20:17:50.000Z
401403932101937601,Liberty,FBS Independents,Arkansas,SEC,Arkansas,Liberty,0,0,401403932,4014039324,4,7,1,6,23,3,2,75,75,4,4,false,-3,Punt,"Aidan Alves punt for 47 yds , Bryce Stephens returns for a loss of 3 yards to the Ark 25",,2022-11-05T20:22:12.000Z
401403932101946901,Arkansas,SEC,Liberty,FBS Independents,Arkansas,Liberty,0,0,401403932,4014039325,5,4,1,5,30,1,3,24,76,4,11,false,0,Punt,"Reid Bauer punt for 44 yds, downed at the Liber 32",,2022-11-05T20:27:30.000Z
401403932101966901,Liberty,FBS Independents,Arkansas,SEC,Arkansas,Liberty,0,0,401403932,4014039326,6,4,1,3,30,3,1,66,66,4,8,false,0,Punt,"Aidan Alves punt for 40 yds, downed at the Ark 26",,2022-11-05T20:30:12.000Z
401403932102917201,Arkansas,SEC,Liberty,FBS Independents,Arkansas,Liberty,0,14,401403932,40140393211,11,9,2,8,27,-1,3,45,55,4,7,false,0,Punt,Reid Bauer punt for 55 yds for a touchback,,2022-11-05T20:59:13.000Z
401403932102939001,Liberty,FBS Independents,Arkansas,SEC,Arkansas,Liberty,14,0,401403932,40140393212,12,4,2,6,9,3,-2,76,76,4,6,false,0,Punt,"Aidan Alves punt for 47 yds, fair catch by Bryce Stephens at the Ark 29",,2022-11-05T21:05:02.000Z
401403932103934501,Arkansas,SEC,Liberty,FBS Independents,Arkansas,Liberty,3,21,401403932,40140393217,17,7,3,6,54,2,2,42,58,4,8,false,0,Punt,"Reid Bauer punt for 50 yds , Demario Douglas returns for no gain to the Liber 8",,2022-11-05T22:02:22.000Z
401403932104869101,Liberty,FBS Independents,Arkansas,SEC,Arkansas,Liberty,21,7,401403932,40140393220,20,6,4,13,8,2,0,54,54,4,7,false,0,Punt,"Aidan Alves punt for 36 yds, fair catch by Bryce Stephens at the Ark 18",,2022-11-05T22:29:39.000Z
401403932104965201,Liberty,FBS Independents,Arkansas,SEC,Arkansas,Liberty,21,13,401403932,40140393224,24,9,4,3,47,1,-2,57,57,4,1,false,0,Punt,"Aidan Alves punt for 42 yds, fair catch by Bryce Stephens at the Ark 15",,2022-11-05T22:58:08.000Z
401403933101936901,Tennessee,SEC,Georgia,SEC,Georgia,Tennessee,3,7,401403933,4014039334,4,8,1,6,30,3,3,59,59,4,6,false,0,Punt,"Paxton Brooks punt for 41 yds, fair catch by Ladd McConkey at the Geo 18",,2022-11-05T20:07:15.000Z
401403933101954501,Georgia,SEC,Tennessee,SEC,Georgia,Tennessee,7,3,401403933,4014039335,5,4,1,4,54,3,3,24,76,4,4,false,0,Punt,"Brett Thorson punt for 75 yds, downed at the Tenn 1",,2022-11-05T20:12:37.000Z
401403933101966001,Tennessee,SEC,Georgia,SEC,Georgia,Tennessee,3,7,401403933,4014039336,6,4,1,3,39,3,3,99,99,4,10,false,0,Punt,"Paxton Brooks punt for 36 yds, fair catch by Ladd McConkey at the Tenn 37",,2022-11-05T20:23:34.000Z
401403933101978501,Tennessee,SEC,Georgia,SEC,Georgia,Tennessee,3,14,401403933,4014039338,8,6,1,2,14,3,3,59,59,4,5,false,23,Punt,"Paxton Brooks punt for 38 yds, downed at the GEORGIA 21 TENNESSEE Penalty, Kick Catching Interference (William Wright) to the Geo 36",,2022-11-05T20:30:25.000Z
401403933102935801,Georgia,SEC,Tennessee,SEC,Georgia,Tennessee,21,6,401403933,40140393311,11,8,2,6,41,3,3,37,63,4,11,false,0,Punt,"Brett Thorson punt for 32 yds, downed at the Tenn 31",,2022-11-05T21:00:00.000Z
401403933103904601,Tennessee,SEC,Georgia,SEC,Georgia,Tennessee,6,24,401403933,40140393314,14,13,3,9,53,3,3,50,50,4,19,false,0,Punt,"Paxton Brooks punt for 37 yds, fair catch by Ladd McConkey at the Geo 13",,2022-11-05T21:54:13.000Z
401403933104938301,Georgia,SEC,Tennessee,SEC,Georgia,Tennessee,27,6,401403933,40140393319,19,5,4,6,16,2,3,15,85,4,18,false,0,Punt,"Brett Thorson punt for 46 yds, fair catch by Dee Williams at the Tenn 39",,2022-11-05T22:37:24.000Z
401403933104965201,Georgia,SEC,Tennessee,SEC,Georgia,Tennessee,27,13,401403933,40140393321,21,7,4,3,47,2,1,52,48,4,12,false,0,Punt,Brett Thorson punt for 48 yds for a touchback,,2022-11-05T22:56:45.000Z
401403934101885001,LSU,SEC,Alabama,SEC,LSU,Alabama,0,0,401403934,4014039341,1,9,1,11,49,3,3,45,55,4,19,false,0,Punt,Jay Bramblett punt for 55 yds for a touchback,,2022-11-05T23:16:51.000Z
401403934101959201,LSU,SEC,Alabama,SEC,LSU,Alabama,0,0,401403934,4014039343,3,8,1,4,7,3,3,56,44,4,11,false,0,Punt,"Jay Bramblett punt for 34 yds, fair catch by Kool-Aid McKinstry at the Alab 10",,2022-11-05T23:33:46.000Z
