id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock.minutes,clock.seconds,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock
401403922101868501,Mississippi State,SEC,Alabama,SEC,Alabama,Mississippi State,0,0,401403922,4014039221,1,6,1,13,14,2,3,66,66,4,1,false,0,Punt,"George Georgopoulos punt for 44 yds, fair catch by Kool-Aid McKinstry at the Alab 22",,2022-10-22T23:14:19.000Z
401403922101886301,Alabama,SEC,Mississippi State,SEC,Alabama,Mississippi State,0,0,401403922,4014039222,2,5,1,11,36,3,2,22,78,4,10,false,0,Punt,"James Burnip punt for 50 yds, fair catch by Zavion Thomas at the MisSt 28",,2022-10-22T23:17:21.000Z
401403922102928001,Mississippi State,SEC,Alabama,SEC,Alabama,Mississippi State,0,21,401403922,4014039229,9,6,2,7,19,2,3,72,72,4,7,false,0,Punt,"Archer Trafford punt for 60 yds, downed at the Alab 12",,2022-10-23T00:22:23.000Z
401403922102984201,Mississippi State,SEC,Alabama,SEC,Alabama,Mississippi State,0,24,401403922,40140392211,11,5,2,1,57,2,3,71,71,4,15,false,0,Punt,"Archer Trafford punt for 16 yds, punt out-of-bounds at the MisSt 45",,2022-10-23T00:40:07.000Z
401403922102989301,Alabama,SEC,Mississippi State,SEC,Alabama,Mississippi State,24,0,401403922,40140392212,12,5,2,1,6,2,2,56,44,4,9,false,0,Punt,"James Burnip punt for 21 yds, punt out-of-bounds at the MisSt 23",,2022-10-23T00:43:21.000Z
401403922103875901,Alabama,SEC,Mississippi State,SEC,Alabama,Mississippi State,24,0,401403922,40140392214,14,8,3,12,40,3,3,47,53,4,7,false,0,Punt,"James Burnip punt for 34 yds, punt out-of-bounds at the MisSt 19",,2022-10-23T01:14:45.000Z
401403922103957401,Alabama,SEC,Mississippi State,SEC,Alabama,Mississippi State,24,0,401403922,40140392216,16,9,3,4,25,3,3,54,46,4,25,false,0,Punt,"James Burnip punt for 36 yds, punt out-of-bounds at the MisSt 10",,2022-10-23T01:37:42.000Z
401403922103968701,Mississippi State,SEC,Alabama,SEC,Alabama,Mississippi State,0,24,401403922,40140392217,17,4,3,3,12,3,3,85,85,4,5,false,0,Punt,"George Georgopoulos punt for 42 yds, fair catch by Kool-Aid McKinstry at the Alab 43",,2022-10-23T01:43:23.000Z
401403922103978501,Alabama,SEC,Mississippi State,SEC,Alabama,Mississippi State,24,0,401403922,40140392218,18,4,3,2,14,3,3,45,55,4,8,false,3,Punt,"James Burnip punt for 41 yds , Zavion Thomas returns for 3 yds to the MisSt 17 Zavion Thomas fumbled, recovered by Alab Jaylen Moody",,2022-10-23T01:46:43.000Z
401403922104868301,Mississippi State,SEC,Alabama,SEC,Alabama,Mississippi State,0,27,401403922,40140392220,20,7,4,13,16,1,3,68,68,4,5,false,0,Punt,"George Georgopoulos punt for 40 yds, downed at the Alab 28",,2022-10-23T02:06:57.000Z
401403922104927601,Mississippi State,SEC,Alabama,SEC,Alabama,Mississippi State,0,30,401403922,40140392222,22,7,4,7,23,1,3,63,63,4,11,false,0,Punt,"George Georgopoulos punt for 41 yds, downed at the Alab 22",,2022-10-23T02:21:46.000Z
401403922104964101,Alabama,SEC,Mississippi State,SEC,Alabama,Mississippi State,30,0,401403922,40140392223,23,7,4,3,58,3,1,36,64,4,8,false,0,Punt,"James Burnip punt for 40 yds, fair catch by Zavion Thomas at the MisSt 24",,2022-10-23T02:29:14.000Z
401403923102887701,Ole Miss,SEC,LSU,SEC,LSU,Ole Miss,17,10,401403923,4014039237,7,5,2,11,22,3,2,66,66,4,1,false,0,Punt,"Fraser Masin punt for 44 yds, fair catch by Gregory Clayton Jr. at the LSU 22",,2022-10-22T20:41:01.000Z
401403923102994001,LSU,SEC,Ole Miss,SEC,LSU,Ole Miss,17,20,401403923,40140392310,10,10,2,0,59,2,2,49,51,4,9,false,3,Punt,"Jay Bramblett punt for 42 yds , Jordan Watkins returns for 3 yds to the Miss 12",,2022-10-22T21:10:46.000Z
401403923103868501,LSU,SEC,Ole Miss,SEC,LSU,Ole Miss,17,20,401403923,40140392312,12,7,3,13,14,3,3,41,59,4,5,false,6,Punt,"Jay Bramblett punt for 42 yds , Jordan Watkins returns for 6 yds to the Miss 23",,2022-10-22T21:36:51.000Z
401403923103877601,Ole Miss,SEC,LSU,SEC,LSU,Ole Miss,20,17,401403923,40140392313,13,4,3,12,23,3,3,77,77,4,10,false,0,Punt,"Fraser Masin punt for 27 yds, downed at the 50 yard line",,2022-10-22T21:41:50.000Z
401403923104885801,Ole Miss,SEC,LSU,SEC,LSU,Ole Miss,20,31,401403923,40140392317,17,12,4,11,41,3,3,65,65,4,16,false,0,Punt,Fraser Masin punt for 65 yds for a touchback,,2022-10-22T22:34:23.000Z
401403924101939701,Vanderbilt,SEC,Missouri,SEC,Missouri,Vanderbilt,0,7,401403924,4014039244,4,4,1,6,2,3,3,48,48,4,25,false,29,Punt,"Matt Hayball punt for 48 yds , Luther Burden III returns for 29 yds to the Misso 29",,2022-10-22T20:23:31.000Z
401403924101955501,Missouri,SEC,Vanderbilt,SEC,Missouri,Vanderbilt,7,0,401403924,4014039245,5,5,1,4,44,3,2,37,63,4,2,false,0,Punt,Sean Koetting punt for 35 yds,,2022-10-22T20:30:21.000Z
401403924101965801,Vanderbilt,SEC,Missouri,SEC,Missouri,Vanderbilt,0,7,401403924,4014039246,6,4,1,3,41,2,3,72,72,4,10,false,0,Punt,"Matt Hayball punt for 57 yds, downed at the Misso 15",,2022-10-22T20:33:18.000Z
401403924101986501,Missouri,SEC,Vanderbilt,SEC,Missouri,Vanderbilt,7,0,401403924,4014039247,7,4,1,1,34,3,2,19,81,4,6,false,6,Punt,"Jack Stonehouse punt for 40 yds , Will Sheppard returns for 6 yds to the Vandy 47",,2022-10-22T20:36:28.000Z
401403924101996801,Vanderbilt,SEC,Missouri,SEC,Missouri,Vanderbilt,0,7,401403924,4014039248,8,4,1,0,31,2,3,53,53,4,10,false,0,Punt,Matt Hayball punt for 42 yds,,2022-10-22T20:39:03.000Z
401403924102917301,Vanderbilt,SEC,Missouri,SEC,Missouri,Vanderbilt,0,14,401403924,40140392410,10,12,2,8,26,2,3,50,50,4,10,false,0,Punt,Matt Hayball punt for 45 yds,,2022-10-22T21:01:01.000Z
401403924102944701,Missouri,SEC,Vanderbilt,SEC,Missouri,Vanderbilt,14,0,401403924,40140392411,11,6,2,5,52,3,1,12,88,4,21,false,0,Punt,"Jack Stonehouse punt for 50 yds, fair catch by Will Sheppard at the Vandy 38",,2022-10-22T21:11:36.000Z
401403924103906101,Vanderbilt,SEC,Missouri,SEC,Missouri,Vanderbilt,0,17,401403924,40140392415,15,11,3,9,38,3,3,49,49,4,12,false,0,Punt,"Matt Hayball punt for 39 yds, downed at the Misso 10",,2022-10-22T22:07:11.000Z
401403924103968601,Missouri,SEC,Vanderbilt,SEC,Missouri,Vanderbilt,17,7,401403924,40140392418,18,7,3,3,13,3,3,39,61,4,7,false,0,Punt,"Jack Stonehouse punt for 48 yds, downed at the Vandy 13",,2022-10-22T22:30:29.000Z
401403924103989901,Vanderbilt,SEC,Missouri,SEC,Missouri,Vanderbilt,7,17,401403924,40140392419,19,5,3,1,0,3,3,70,70,4,6,false,0,Punt,"Matt Hayball punt for 30 yds, downed at the Misso 40",,2022-10-22T22:34:05.000Z
401403924104974201,Missouri,SEC,Vanderbilt,SEC,Missouri,Vanderbilt,17,14,401403924,40140392424,24,6,4,2,57,3,1,28,72,4,7,false,3,Punt,"Jack Stonehouse punt for 38 yds , Will Sheppard returns for 3 yds to the Vandy 37",,2022-10-22T23:15:10.000Z
401403925101965701,South Carolina,SEC,Texas A&M,SEC,South Carolina,Texas A&M,17,3,401403925,4014039256,6,8,1,3,42,2,3,40,60,4,1,false,2,Punt,"Kai Kroeger punt for 50 yds , Moose Muhammad III returns for 2 yds to the TexAM 12 Moose Muhammad III fumbled, recovered by TexAM Moose Muhammad III",,2022-10-23T00:18:41.000Z
401403925101984101,Texas A&M,SEC,South Carolina,SEC,South Carolina,Texas A&M,3,17,401403925,4014039257,7,6,1,1,58,3,2,80,80,4,15,false,0,Punt,"Nik Constantinou punt for 47 yds, fair catch by Josh Vann at the SCaro 33",,2022-10-23T00:22:42.000Z
401403925102899501,South Carolina,SEC,Texas A&M,SEC,South Carolina,Texas A&M,17,6,401403925,40140392510,10,8,2,10,4,2,1,48,52,4,6,false,3,Punt,"Kai Kroeger punt for 49 yds , Moose Muhammad III returns for 3 yds to the TexAM 6",,2022-10-23T00:29:36.000Z
401403925102994701,South Carolina,SEC,Texas A&M,SEC,South Carolina,Texas A&M,17,14,401403925,40140392512,12,9,2,0,52,0,1,55,45,4,10,false,0,Punt,Kai Kroeger punt for 45 yds for a touchback,,2022-10-23T00:29:36.000Z
