id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock.minutes,clock.seconds,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock
401403939101899801,Arkansas,SEC,LSU,SEC,Arkansas,LSU,0,0,401403939,4014039392,2,4,1,10,1,3,3,48,52,4,5,false,0,Punt,"Reid Bauer punt for 32 yds, punt out-of-bounds at the LSU 20",,2022-11-12T17:14:17.000Z
401403939101918701,LSU,SEC,Arkansas,SEC,Arkansas,LSU,0,0,401403939,4014039393,3,5,1,8,12,3,3,82,82,4,12,false,14,Punt,"Jay Bramblett punt for 52 yds , Bryce Stephens returns for 14 yds to the Ark 44",,2022-11-12T17:21:12.000Z
401403939102868901,LSU,SEC,Arkansas,SEC,Arkansas,LSU,0,3,401403939,4014039397,7,11,2,13,10,3,2,90,90,4,15,false,1,Punt,"Jay Bramblett punt for 41 yds , Bryce Stephens returns for 1 yd to the Ark 11 ARKANSAS Penalty, Illegal Block (10 Yards) to the Ark 40",,2022-11-12T17:52:55.000Z
401403939102929601,Arkansas,SEC,LSU,SEC,Arkansas,LSU,3,3,401403939,40140393910,10,9,2,7,3,1,3,43,57,4,12,false,0,Punt,"Reid Bauer punt for 29 yds, punt out-of-bounds at the LSU 28",,2022-11-12T18:10:30.000Z
401403939102997401,Arkansas,SEC,LSU,SEC,Arkansas,LSU,3,6,401403939,40140393912,12,9,2,0,25,0,2,48,52,4,3,false,0,Punt,Reid Bauer punt for 52 yds for a touchback,,2022-11-12T18:29:20.000Z
401403939103888601,Arkansas,SEC,LSU,SEC,Arkansas,LSU,3,6,401403939,40140393914,14,9,3,11,13,3,3,40,60,4,20,false,0,Punt,"Reid Bauer punt for 48 yds, fair catch by Gregory Clayton Jr. at the LSU 12",,2022-11-12T18:56:18.000Z
401403939103905801,LSU,SEC,Arkansas,SEC,Arkansas,LSU,6,3,401403939,40140393915,15,4,3,9,41,3,3,85,85,4,7,false,51,Punt,"Jay Bramblett punt for 51 yds , Bryce Stephens returns for a loss of 1 yard to the Ark 33",,2022-11-12T19:01:52.000Z
401403939103958001,Arkansas,SEC,LSU,SEC,Arkansas,LSU,3,13,401403939,40140393918,18,5,3,4,19,3,3,32,68,4,3,false,0,Punt,"Reid Bauer punt for 39 yds, downed at the LSU 29",,2022-11-12T19:19:44.000Z
401403939103975301,LSU,SEC,Arkansas,SEC,Arkansas,LSU,13,3,401403939,40140393919,19,5,3,2,46,3,3,42,42,4,12,false,0,Punt,"Jay Bramblett punt for 36 yds, fair catch by Bryce Stephens at the Ark 6",,2022-11-12T19:23:18.000Z
401403939104905901,LSU,SEC,Arkansas,SEC,Arkansas,LSU,13,10,401403939,40140393921,21,8,4,9,40,3,3,72,72,4,19,false,0,Punt,"Jay Bramblett punt for 36 yds, fair catch by Bryce Stephens at the Ark 36",,2022-11-12T19:42:56.000Z
401403939104914201,Arkansas,SEC,LSU,SEC,Arkansas,LSU,10,13,401403939,40140393922,22,4,4,8,57,3,3,37,63,4,9,false,0,Punt,"Reid Bauer punt for 46 yds, fair catch by Gregory Clayton Jr. at the LSU 17",,2022-11-12T19:48:13.000Z
401403939104959901,Arkansas,SEC,LSU,SEC,Arkansas,LSU,10,13,401403939,40140393924,24,5,4,4,0,3,3,57,43,4,10,false,0,Punt,"Max Fletcher punt for 31 yds, punt out-of-bounds at the LSU 12",,2022-11-12T20:02:45.000Z
401403939104986401,LSU,SEC,Arkansas,SEC,Arkansas,LSU,13,10,401403939,40140393925,25,11,4,1,35,3,0,69,69,4,1,false,0,Punt,"Jay Bramblett punt for 45 yds, punt out-of-bounds at the Ark 24",,2022-11-12T20:19:13.000Z
401403940101878001,Texas A&M,SEC,Auburn,SEC,Auburn,Texas A&M,0,0,401403940,4014039401,1,9,1,12,19,3,3,47,47,4,4,false,0,Punt,Nik Constantinou punt for 37 yds,,2022-11-13T00:46:01.000Z
