id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock.minutes,clock.seconds,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock
401403956101934001,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,3,7,401403956,4014039563,3,5,1,6,59,3,3,26,74,4,8,false,0,Punt,"Fraser Masin punt for 50 yds, downed at the MisSt 24",,2022-11-25T00:28:58.000Z
401403956101946601,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,7,3,401403956,4014039564,4,4,1,5,33,3,3,86,86,4,20,false,-3,Punt,"George Georgopoulos punt for 56 yds , Jordan Watkins returns for a loss of 3 yards to the Miss 27",,2022-11-25T00:32:10.000Z
401403956102859001,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,7,6,401403956,4014039566,6,7,2,14,9,3,3,78,78,4,23,false,2,Punt,"Archer Trafford punt for 39 yds , Jordan Watkins returns for 2 yds to the Miss 41",,2022-11-25T00:49:02.000Z
401403956102904801,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,7,9,401403956,4014039568,8,7,2,9,51,3,3,60,60,4,6,false,0,Punt,"George Georgopoulos punt for 55 yds, punt out-of-bounds at the Miss 5",,2022-11-25T00:59:34.000Z
401403956102909401,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,9,7,401403956,4014039569,9,4,2,9,5,3,3,7,93,4,8,false,7,Punt,"Fraser Masin punt for 45 yds , Zavion Thomas returns for 7 yds to the MisSt 14 MISSISSIPPI ST Penalty, Illegal Block (10 Yards) to the MisSt 45",,2022-11-25T01:08:27.000Z
401403956102915701,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,7,9,401403956,40140395610,10,5,2,8,42,3,3,50,50,4,5,false,0,Punt,"George Georgopoulos punt for 38 yds, fair catch by Jordan Watkins at the Miss 12",,2022-11-25T01:11:46.000Z
401403956102927601,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,9,7,401403956,40140395611,11,5,2,7,23,2,3,21,79,4,1,false,0,Punt,"Fraser Masin punt for 38 yds, fair catch by Zavion Thomas at the MisSt 41",,2022-11-25T01:19:47.000Z
401403956103895001,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,16,14,401403956,40140395617,17,4,3,10,49,3,2,27,73,4,11,false,27,Punt,"Fraser Masin punt for 46 yds , Zavion Thomas returns for 27 yds to the Miss 46",,2022-11-25T02:24:06.000Z
401403956103908601,Mississippi State,SEC,Ole Miss,SEC,Ole Miss,Mississippi State,14,16,401403956,40140395618,18,4,3,9,13,2,3,52,52,4,18,false,0,Punt,"George Georgopoulos punt for 48 yds, downed at the Miss 4",,2022-11-25T02:27:53.000Z
401403956103926201,Ole Miss,SEC,Mississippi State,SEC,Ole Miss,Mississippi State,16,14,401403956,40140395619,19,5,3,7,37,3,2,13,87,4,1,false,0,Punt,"Fraser Masin punt for 45 yds, downed at the MisSt 42",,2022-11-25T02:32:46.000Z
