Year,player,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,athlete_id
2020,Harrison Hand,temple,CB,71.13,197,9.13,31.75,NA,4.52,14,41,133,4.27,NA,NA,4259170
2020,Jake Hanson,oregon,C,76.38,303,9.25,32.75,NA,5.5,33,NA,NA,NA,NA,NA,NA
2020,DeJon Harris,arkansas,LB,71.63,234,9.38,31.38,NA,4.69,18,33,111,4.32,NA,NA,NA
2020,Nick Harris,washington,C,72.88,302,9.75,32.13,NA,5.1,20,29.5,103,NA,NA,NA,4575859
2020,Malik Harrison,ohio state,LB,74.63,247,10.25,32.75,NA,4.66,NA,36,122,4.32,NA,NA,4040615
2020,JaMycal Hasty,baylor,RB,68,205,9.13,31.13,NA,4.55,15,39,123,4.03,NA,NA,3928925
2020,Jaylinn Hawkins,california,S,74,210,9.5,31.75,NA,NA,NA,35.5,117,NA,NA,NA,3858276
2020,Charlie Heck,north carolina,OT,79.63,311,10.25,34.13,NA,5.16,21,28,112,4.86,NA,NA,NA
2020,CJ Henderson,florida,CB,72.75,204,9,31.63,NA,4.39,20,37.5,127,NA,NA,NA,4240596
2020,Matt Hennessy,temple,C,75.88,307,10,32.25,NA,5.18,23,30,110,4.6,NA,NA,4044138
2020,Justin Herbert,oregon,QB,78.25,236,10,32.88,NA,4.68,NA,35.5,123,4.46,NA,NA,4038941
2020,Brian Herrien,georgia,RB,71.13,209,9,29.75,NA,4.62,18,38.5,126,4.4,NA,NA,4035005
2020,Justin Herron,wake forest,OG,77,290,8.88,33.5,NA,5.26,27,33,105,4.88,NA,NA,NA
2020,Tee Higgins,clemson,WR,75.63,216,9.25,34.13,NA,4.59,NA,31,10,4.53,NA,NA,4239993
2020,Alex Highsmith,north carolina charlotte,DE,75.13,248,9.13,33.13,NA,4.7,NA,33,125,4.31,NA,NA,4037333
2020,John Hightower,boise state,WR,73.5,189,9.75,31.5,NA,4.43,NA,38.5,122,4.21,NA,NA,4373673
2020,KJ Hill,ohio state,WR,71.88,196,9.25,29.13,NA,4.6,17,32.5,114,NA,NA,NA,3915522
2020,Lavert Hill,michigan,CB,70,190,9.13,30.88,NA,NA,21,NA,NA,NA,NA,NA,4046538
2020,Trevon Hill,miami (fl),DE,74.88,248,9.25,32.38,NA,4.89,NA,28,113,NA,NA,NA,3929955
2020,Isaiah Hodgins,oregon state,WR,75.63,210,9.88,33.13,NA,4.61,9,36.5,124,4.12,NA,NA,4242540
2020,Sterling Hofrichter,syracuse,P,69.63,196,8.63,29.38,NA,NA,NA,NA,NA,NA,NA,NA,3916449
2020,Darnay Holmes,ucla,CB,69.75,195,9.25,29.5,NA,4.48,12,NA,NA,NA,NA,NA,4242973
2020,Brycen Hopkins,purdue,TE,75.88,245,10.13,32.13,NA,4.66,21,33.5,116,4.28,NA,NA,3918003
2020,Khaleke Hudson,michigan,LB,71,224,10,29.38,NA,4.56,30,33,120,NA,NA,NA,4046525
2020,Robert Hunt,louisiana-lafayette,OG,77.13,323,10.75,33.5,NA,NA,NA,NA,NA,NA,NA,NA,3917592
2020,Jalen Hurts,oklahoma,QB,73,222,9.75,31.75,NA,4.59,NA,35,125,NA,NA,NA,4040715
2020,Noah Igbinoghene,auburn,CB,70.38,198,9.38,31.75,NA,4.48,15,37,128,4.19,7.1,NA,4242516
2020,Keith Ismael,san diego state,C,74.88,309,10,32.25,NA,5.34,NA,32,108,4.65,NA,NA,4036831
2020,Cordel Iwuagwu,texas christian,OG,75,311,10.13,33.75,NA,5.22,25,27,94,4.87,NA,NA,3676763
2020,Austin Jackson,southern california,OT,76.88,322,10.25,34.13,NA,5.07,27,31,115,NA,NA,NA,4271632
2020,Dane Jackson,pittsburgh,CB,71.63,187,8.75,30.38,NA,4.57,NA,35,122,4.27,NA,NA,3895791
2020,Jonah Jackson,ohio state,OG,75.5,306,10.5,33.5,NA,5.23,28,26,98,5.02,NA,NA,3930040
2020,Lamar Jackson,nebraska,CB,74,208,9.5,32.25,NA,4.58,10,36.5,122,4.42,7.28,NA,4034849
2020,Trishton Jackson,syracuse,WR,72.75,197,9.75,32.38,NA,4.5,NA,36,117,NA,NA,NA,4046715
2020,Justin Jefferson,louisiana state,WR,73.25,202,9.13,33,NA,4.43,NA,37.5,126,NA,NA,NA,NA
2020,Van Jefferson,florida,WR,73.5,200,9.13,32.75,NA,NA,NA,NA,NA,NA,NA,NA,3930066
2020,Anfernee Jennings,alabama,LB,74.13,256,9.13,32.88,NA,NA,NA,NA,NA,NA,NA,NA,3925350
2020,Jauan Jennings,tennessee,WR,75.13,215,9,31.63,NA,4.72,NA,29,119,NA,NA,NA,3886598
2020,Jerry Jeudy,alabama,WR,73,193,9.5,32.13,NA,4.45,NA,35,120,4.53,NA,NA,4241463
2020,Collin Johnson,texas,WR,77.63,222,9,31.75,NA,NA,17,NA,NA,NA,NA,NA,4039043
2020,Jaylon Johnson,utah,CB,71.88,193,9.38,31.38,NA,4.5,15,36.5,124,4.13,NA,NA,4243253
2020,Juwan Johnson,oregon,WR,76,230,10.5,34.25,NA,4.58,14,33,124,4.37,NA,NA,3929645
2020,Tyler Johnson,minnesota,WR,73.38,206,9,30.88,NA,NA,NA,NA,NA,NA,NA,NA,246044
2020,Clay Johnston,baylor,LB,73,232,9,30.5,NA,NA,18,NA,NA,NA,NA,NA,3928928
2020,Benito Jones,mississippi,DT,73,316,9.75,32.88,NA,5.26,NA,26.5,NA,5.27,NA,NA,4035299
2020,Brandon Jones,texas,FB,71.13,198,8.75,30.13,NA,NA,NA,NA,NA,NA,NA,NA,4039059
2020,Josh Jones,houston,OT,77,319,10.13,33.88,NA,5.27,24,28.5,109,NA,NA,NA,NA
2020,Tony Jones,notre dame,WR,71,224,9.5,30.63,NA,4.68,13,32.5,119,4.21,NA,NA,NA
2020,Azur Kamara,kansas,LB,75.25,242,10,35.25,NA,4.59,13,28,121,4.46,7.19,NA,4360328
2020,Khalid Kareem,notre dame,DE,75.75,268,10.88,34.38,NA,NA,NA,NA,NA,NA,NA,NA,4039029
2020,Dalton Keene,virginia tech,DT,76.13,253,9.75,32.25,NA,4.71,21,34,125,4.19,NA,NA,4240861
2020,Joshua Kelley,ucla,RB,70.63,212,9.63,31.63,NA,4.49,23,31,121,4.28,NA,NA,3910544
2020,BoPete Keyes,tulane (la),CB,73,200,8.75,32.63,NA,NA,NA,36,126,NA,NA,NA,NA
2020,Solomon Kindley,georgia,OG,75.25,337,10,32.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Javon Kinlaw,south carolina,DT,77.13,324,10.5,34.88,NA,NA,NA,NA,NA,NA,NA,NA,4259491
2020,Cole Kmet,notre dame,TE,77.75,262,10.5,33,NA,4.7,NA,37,123,4.41,NA,NA,4258595
2020,Cedarian Lamb,oklahoma,WR,73.63,198,9.25,32.25,NA,4.5,11,34.5,124,NA,NA,NA,NA
2020,Rashard Lawrence,louisiana state,DT,74,308,11,34.13,NA,5.07,22,NA,NA,NA,NA,NA,4035452
2020,Javon Leake,maryland,RB,72.13,215,9.63,31.5,NA,4.65,NA,34,125,NA,NA,NA,4241940
2020,Benny LeMay,north carolina charlotte,RB,68.13,221,9,29.88,NA,4.75,24,28.5,112,NA,NA,NA,4045702
2020,Shane Lemieux,oregon,OG,75.88,310,9.5,32.25,NA,5.11,26,25.5,107,4.9,NA,NA,NA
2020,Brian Lewerke,michigan state,QB,74.5,213,10.63,32.13,NA,4.95,NA,31,113,4.4,NA,NA,3929824
2020,Damien Lewis,louisiana state,OG,74,327,10.25,33,NA,5.24,27,30,108,NA,NA,NA,4362647
2020,Terrell Lewis,alabama,LB,77.25,262,9.88,33.88,NA,NA,NA,37,124,NA,NA,NA,4040968
2020,Kalija Lipscomb,vanderbilt,WR,71.88,207,9.38,32.88,NA,4.57,16,32,127,NA,NA,NA,4035277
2020,Jordan Love,utah state,QB,75.75,224,10.5,32.63,NA,4.74,NA,35.5,118,4.52,NA,NA,4036378
2020,Jake Luton,oregon state,QB,78.13,224,10.38,31.75,NA,5.07,NA,28.5,NA,4.6,7.85,NA,3124900
2020,James Lynch,baylor,DT,75.63,289,9.88,31.88,NA,5.01,23,29,111,4.39,NA,NA,4259181
2020,Austin Mack,ohio state,WR,73.5,208,10,33.63,NA,4.59,NA,31.5,117,4.42,NA,NA,4040623
2020,Jordan Mack,virginia,LB,74.75,241,8.75,31.25,NA,NA,NA,NA,NA,NA,NA,NA,4037588
2020,Justin Madubuike,texas a&m,DT,74.63,293,9,33.5,NA,4.83,31,NA,NA,NA,NA,NA,4035245
2020,Braden Mann,texas a&m,P,71.38,198,9.25,30,NA,4.83,NA,31,111,4.13,NA,NA,4035239
2020,Kamal Martin,minnesota,LB,74.88,240,10.13,34,NA,NA,NA,NA,NA,NA,NA,NA,4034781
2020,Cole McDonald,hawaii,QB,75.13,215,9.75,32.25,NA,4.58,NA,36,121,4.52,NA,NA,4038220
2020,Anthony McFarland,maryland,RB,68.13,208,8.88,30.38,NA,4.44,NA,29.5,116,NA,NA,NA,4241941
2020,Sean McKeon,michigan,TE,77,242,9.13,33.5,NA,NA,18,NA,NA,NA,NA,NA,4036275
2020,Xavier McKinney,alabama,S,72.38,201,8.63,30.88,NA,4.63,19,36,122,NA,NA,NA,4241470
2020,Colton McKivitz,west virginia,OT,78.13,306,10,33.75,NA,5.35,20,26,106,5,NA,NA,3916075
2020,Josh Metellus,michigan,S,71,209,10.25,32.25,NA,4.55,20,36.5,124,4.4,NA,NA,4046537
2020,Chris Miller,baylor,S,72,191,9,29.88,NA,4.61,12,35.5,133,4.12,NA,NA,4035402
2020,Denzel Mims,baylor,WR,74.88,207,9.38,33.88,NA,4.38,16,38.5,131,4.43,NA,NA,4035403
2020,John Molchon,boise state,OG,77,318,9.5,31.13,NA,5.13,26,34,109,4.73,NA,NA,3722375
2020,JJ Molson,ucla,K,73,197,9.5,30.75,NA,NA,NA,NA,NA,NA,NA,NA,4035822
2020,Steven Montez,colorado,QB,76,231,9.38,32.75,NA,4.68,NA,33,117,4.43,NA,NA,3915436
2020,Darnell Mooney,tulane (la),WR,70,176,9.63,30.88,NA,4.38,9,37,124,NA,NA,NA,4040655
2020,James Morgan,florida international,QB,76,229,9.75,33.38,NA,4.89,NA,29,112,4.64,NA,NA,3914395
2020,Thaddeus Moss,louisiana state,TE,73.88,250,9.88,31.88,NA,NA,NA,NA,NA,NA,NA,NA,4036189
2020,Zack Moss,utah,RB,69.38,223,9.25,31.25,NA,4.65,19,33,NA,4.37,NA,NA,4035676
2020,Larrell Murchison,north carolina state,DT,74.5,297,10,32.63,NA,5.05,29,29,118,4.51,NA,NA,4240123
2020,Kyle Murphy,rhode island,OT,76,302,10,33.88,NA,5.3,19,28,104,4.68,NA,NA,NA
2020,Kenneth Murray,oklahoma,LB,74.5,241,9.5,32.75,NA,4.52,21,38,129,NA,NA,NA,4241394
2020,Tanner Muse,clemson,LB,74,227,9,31.5,NA,4.41,20,34.5,124,4.12,6.94,NA,3728263
2020,Netane Muti,frenso state (ca),OG,74.88,315,10.63,31.75,NA,NA,44,NA,NA,NA,NA,NA,NA
2020,Lucas Niang,texas christian,OT,78,315,10.5,34.25,NA,NA,NA,NA,NA,NA,NA,NA,4038552
2020,Cheyenne O'Grady,arkansas,TE,75.75,253,10.13,33.63,NA,4.81,16,34,119,4.34,NA,NA,4035593
2020,Michael Ojemudia,iowa,CB,72.63,200,8.88,32.25,NA,4.45,NA,36,122,4.21,NA,NA,3894830
2020,Jeff Okudah,ohio state,CB,73.13,205,9.13,32.63,NA,4.48,11,41,135,NA,NA,NA,NA
2020,Julian Okwara,notre dame,DE,76.25,252,10.25,34.38,NA,NA,27,NA,NA,NA,NA,NA,4046690
2020,Albert Okwuegbunam,missouri,TE,77.5,258,10.25,34.13,NA,4.49,NA,NA,NA,NA,NA,NA,4035115
2020,Sewo Olonilua,texas christian,RB,75,240,10,32.13,NA,4.66,25,36,123,4.28,NA,NA,4038539
2020,Dante Olson,montana,LB,74.38,237,9.13,32.38,NA,4.88,15,42,124,4.32,NA,NA,NA
2020,Mike Onwenu,michigan,OG,75,350,10.5,34.38,NA,NA,26,NA,NA,NA,NA,NA,NA
2020,KJ Osborn,miami (fl),WR,72,206,9.13,31.25,NA,4.48,18,37.5,123,4.35,NA,NA,3916566
2020,Aaron Parker,rhode island,WR,73.63,209,9.13,31.13,NA,4.57,12,26.5,112,4.23,NA,NA,NA
2020,Colby Parkinson,stanford,TE,79.25,252,9.63,33.25,NA,4.77,18,32.5,109,4.46,NA,NA,4242557
2020,Dezmon Patmon,washington state,WR,76,228,10.25,32.75,NA,4.48,15,36,132,4.38,NA,NA,4054085
2020,Shea Patterson,michigan,QB,73,202,9.38,30.5,NA,4.71,NA,31,116,4.5,NA,NA,4035292
2020,Matt Peart,connecticut,OT,78.63,318,9.5,36.63,NA,5.06,26,30,113,4.92,NA,NA,3921936
2020,Alex Pechin,bucknell (pa),P,72,210,9.38,29.63,NA,4.69,13,34,NA,NA,NA,NA,NA
2020,John Penisini,utah,DT,74,333,10.5,32.88,NA,NA,23,25.5,NA,4.93,NA,NA,4243257
2020,Donovan Peoples-Jones,michigan,WR,73.63,212,10.13,33.5,NA,4.48,NA,44.5,139,NA,NA,NA,4258195
2020,La'Mical Perine,florida,RB,70.75,216,10.25,31.63,NA,4.62,22,35,118,4.31,NA,NA,NA
2020,Malcolm Perry,navy,RB,69.5,186,8.5,29.63,NA,4.63,10,36,122,4.31,NA,NA,4039436
2020,Jacob Phillips,louisiana state,OT,75,229,10,32.38,NA,4.66,NA,39,126,4.33,NA,NA,4242206
2020,Scottie Phillips,mississippi,RB,68,211,8.5,29.38,NA,4.56,29,30,114,4.53,NA,NA,4362878
2020,Tyre Phillips,mississippi state,OG,77,331,10.38,35.13,NA,5.37,22,25,93,5.11,NA,NA,NA
2020,James Pierre,florida atlantic,CB,74,185,8.5,31.25,NA,4.59,NA,33.5,123,NA,NA,NA,4259252
2020,Michael Pinckney,miami (fl),LB,71.13,235,10,32.38,NA,NA,NA,NA,NA,NA,NA,NA,4037467
2020,Jared Pinkney,vanderbilt,TE,76,257,10.5,32.88,NA,4.96,23,NA,NA,NA,NA,NA,3915772
2020,Danny Pinter,ball state (in),OG,76.25,306,9.5,31.88,NA,4.91,24,29.5,110,4.62,NA,NA,3915470
2020,Michael Pittman,southern california,WR,76,223,9.25,32.5,NA,4.52,13,36.5,121,4.14,NA,NA,NA
2020,Troy Pride,notre dame,CB,71,194,9,30.63,NA,4.4,13,35.5,119,4.26,NA,NA,NA
2020,James Proche,southern methodist (tx),WR,70.63,201,9.63,29.75,NA,NA,20,34.5,NA,4.4,NA,NA,3916204
2020,Shaquille Quarterman,miami (fl),LB,72.5,234,9.13,31.63,NA,4.74,23,31,120,NA,NA,NA,4037468
2020,Patrick Queen,louisiana state,LB,72.25,229,10,31.63,NA,4.5,18,35,125,NA,NA,NA,4242207
2020,Jalen Reagor,texas christian,WR,70.63,206,9.5,31.38,NA,4.47,17,42,138,4.46,NA,NA,4241802
2020,JR Reed,georgia,S,72.75,202,9.88,32.5,NA,4.54,15,34,130,NA,NA,NA,3917012
2020,Joe Reed,virginia,QB,72.5,224,9.75,31.13,NA,4.47,21,38,123,NA,NA,NA,4037591
2020,John Reid,penn state,CB,70.38,187,9.13,30.13,NA,4.49,20,36.5,129,3.97,NA,NA,3929653
2020,Chauncey Rivers,mississippi state,LB,75,275,9.75,32.88,NA,4.97,20,30.5,106,4.7,NA,NA,3915186
2020,Malcolm Roach,texas,DT,74.13,297,9.63,31.88,NA,4.84,20,30,114,NA,NA,NA,4039064
2020,Amik Robertson,louisiana tech,CB,68.38,187,9,30.25,NA,NA,NA,NA,NA,NA,NA,NA,4239694
2020,Alton Robinson,syracuse,DE,74.75,264,9.25,32.38,NA,4.69,25,35.5,119,4.32,NA,NA,4254276
2020,James Robinson,illinois state,RB,69,219,8.75,29.63,NA,4.64,24,40,125,4.19,NA,NA,NA
2020,Reggie Robinson,tulsa (ok),CB,72.88,205,8.38,31.5,NA,4.44,22,36,132,4.18,NA,NA,4054031
2020,Kendrick Rogers,texas a&m,WR,76,204,9.13,33.13,NA,4.51,17,35.5,124,4.48,NA,NA,4035255
2020,Henry Ruggs,alabama,WR,71,188,10.13,30.5,NA,4.27,NA,42,131,NA,NA,NA,NA
2020,Cesar Ruiz,michigan,C,74.75,307,11,33.13,NA,5.08,28,33,113,4.64,NA,NA,4258199
2020,Jon Runyan,michigan,OG,76.25,306,9.13,33.25,NA,5.08,24,30.5,107,4.69,NA,NA,3929936
2020,Chapelle Russell,temple,LB,74,236,10,32.38,NA,4.69,21,35,121,4.41,NA,NA,3923413
2020,Stanford Samuels,florida state,CB,74,185,10.13,31.75,NA,4.65,NA,NA,NA,NA,NA,NA,NA
2020,Josiah Scott,michigan state,CB,69.25,185,8.75,29.38,NA,4.42,17,NA,NA,NA,NA,NA,4241977
2020,Laviska Shenault,colorado,WR,72.63,227,9,31.88,NA,4.58,17,NA,NA,NA,NA,NA,NA
2020,Qaadir Sheppard,mississippi,DE,75,252,10,32.75,NA,4.83,28,31.5,115,NA,NA,NA,3916473
2020,Isaiah Simmons,clemson,LB,75.63,233,9.63,33.38,NA,4.39,20,39,132,NA,NA,NA,4035462
2020,John Simpson,clemson,OT,76.13,321,11.25,34.13,NA,5.24,34,30,107,4.87,8.01,NA,4035479
2020,Arryn Siposs,auburn,P,74,212,9.25,32,NA,5.09,NA,NA,NA,NA,NA,NA,4371989
2020,James Smith-Williams,north carolina state,DE,75.63,265,9.25,33.75,NA,4.6,28,32,123,4.52,NA,NA,3686690
2020,L'Jarius Sneed,louisiana tech,S,72.5,192,8.88,31.38,NA,4.37,12,41,131,NA,NA,NA,4040432
2020,Nate Stanley,iowa,QB,75.75,235,10,32.63,NA,4.81,NA,28.5,108,4.48,NA,NA,NA
2020,Terence Steele,texas tech,OT,78,310,9.5,35.13,NA,5.03,27,27.5,106,5.08,NA,NA,3915834
2020,Logan Stenberg,kentucky,OG,78,317,10.25,32.5,NA,5.3,NA,26,104,4.83,NA,NA,3915252
2020,Simon Stepaniak,indiana,OG,76.13,313,10.38,32,NA,NA,37,NA,NA,NA,NA,NA,3929794
2020,Darrell Stewart,michigan state,WR,74,216,9.63,32,NA,NA,15,35,117,NA,NA,NA,NA
2020,Geno Stone,iowa,S,70.38,207,9.13,29.25,NA,4.62,12,33.5,116,NA,NA,NA,4240575
2020,Justin Strnad,wake forest,LB,75.38,238,9.13,31.75,NA,4.74,NA,29,113,4.49,NA,NA,3919548
2020,Jason Strowbridge,north carolina,DE,76.25,275,10.13,32.38,NA,4.89,26,31,113,4.37,NA,NA,3895843
2020,Stephen Sullivan,louisiana state,TE,76.88,248,10.13,35.38,NA,4.66,NA,36.5,123,4.62,NA,NA,4035426
2020,Freddie Swain,florida,WR,72,199,9,30.63,NA,4.46,16,36.5,124,4.26,NA,NA,4034950
2020,D'Andre Swift,georgia,RB,68.25,212,9,29.88,NA,4.48,NA,35.5,121,NA,NA,NA,4259545
2020,Tua Tagovailoa,alabama,QB,72,217,10,30.5,NA,NA,NA,NA,NA,NA,NA,NA,4241479
2020,Charlie Taumoepeau,portland state (or),TE,74.25,240,9.5,32.25,NA,4.75,18,36.5,121,4.27,NA,NA,NA
2020,Alex Taylor,south carolina state,OT,80.38,308,11.25,36.13,NA,5.09,21,25,116,4.79,NA,NA,NA
2020,Darrell Taylor,tennessee,DE,75.63,267,9.75,33,NA,NA,NA,NA,NA,NA,NA,NA,3915396
2020,Davion Taylor,colorado,LB,72.5,228,9.63,32.13,NA,4.49,21,35,127,4.26,6.96,NA,4360645
2020,JJ Taylor,arizona,RB,66,185,8.5,28.75,NA,4.61,19,34.5,118,4.15,NA,NA,4039607
2020,Jonathan Taylor,wisconsin,RB,70.25,226,9.5,31.13,NA,4.39,17,36,123,4.24,NA,NA,4242335
2020,Patrick Taylor,memphis,RB,75,216,9.38,32.25,NA,4.57,15,34,123,4.34,NA,NA,4685773
2020,Prince Wanogho Tega,auburn,OT,77,308,10.38,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,AJ Terrell,clemson,CB,73.13,195,9,31.25,NA,4.42,15,34.5,129,4.27,7.12,NA,4239995
2020,Andrew Thomas,georgia,OT,77.13,315,10.25,36.13,NA,5.22,21,30.5,109,4.66,NA,NA,NA
2020,Daniel Thomas,auburn,S,71,209,9.25,31.63,NA,4.51,24,37,125,NA,NA,NA,4035505
2020,Jeff Thomas,miami (fl),WR,68.88,170,8.38,30.38,NA,4.45,NA,36.5,125,NA,NA,NA,NA
2020,Stantley Thomas-Oliver,florida international,CB,74,184,9.63,31.13,NA,4.48,NA,34,127,NA,NA,NA,NA
2020,Calvin Throckmorton,oregon,OT,77,317,9.5,32.5,NA,5.57,23,27,97,4.98,NA,NA,3915147
2020,Casey Toohill,stanford,DE,76.38,250,9.5,33.5,NA,4.62,17,39,126,4.21,NA,NA,3931408
2020,Tommy Townsend,florida,P,74,176,9.13,32.13,NA,4.75,NA,NA,NA,NA,NA,NA,3915398
2020,Adam Trautman,dayton,TE,77,255,9.5,32.63,NA,4.8,18,34.5,114,4.27,NA,NA,NA
2020,Michael Turk,arizona state,P,72.5,226,9.88,31.13,NA,4.79,25,34.5,108,4.72,NA,NA,4247781
2020,Derrek Tuszka,north dakota state,LB,76.5,251,9.88,31.38,NA,4.79,24,33.5,120,4.34,NA,NA,NA
2020,Josh Uche,michigan,LB,73,241,9.5,33.63,NA,NA,18,NA,NA,NA,NA,NA,4046528
2020,Ke'Shawn Vaughn,vanderbilt,RB,69.63,214,8.88,30.88,NA,4.51,NA,32,117,NA,NA,NA,3917612
2020,Binjimen Victor,ohio state,WR,75.75,198,9.63,34.13,NA,4.6,9,35,128,NA,NA,NA,4040628
2020,Kindle Vildor,georgia southern,CB,69.88,191,9.63,32.25,NA,4.44,22,39.5,133,4.28,NA,NA,4036651
2020,Mykal Walker,frenso state (ca),LB,75,230,10,32.5,NA,4.65,20,33,122,4.25,NA,NA,4243009
2020,K'Von Wallace,clemson,S,71,206,9.13,31,NA,4.53,18,38,133,4.15,NA,NA,4035463
2020,Michael Warren,cincinnati,RB,69.13,226,9.13,29.5,NA,NA,16,NA,NA,NA,NA,NA,NA
2020,Broderick Washington,texas tech,DT,74.25,305,10.38,32.5,NA,NA,23,NA,NA,NA,NA,NA,NA
2020,Quez Watkins,southern mississippi,WR,72.13,185,9,32.88,NA,4.35,NA,36.5,125,4.36,NA,NA,4050373
2020,Curtis Weaver,boise state,DE,74.38,265,10,32.38,NA,NA,NA,32.5,116,4.27,NA,NA,4048257
2020,Evan Weaver,california,LB,74.13,237,9.88,31.63,NA,4.76,15,32,117,4.21,NA,NA,4035875
2020,Cody White,michigan state,WR,75,215,10,32.5,NA,4.66,NA,35.5,120,4.52,NA,NA,4241983
2020,Mitchell Wilcox,south florida,TE,75.5,247,9.13,32.25,NA,4.88,NA,31,112,4.43,NA,NA,3923392
2020,Kenny Willekes,michigan state,DE,75.5,264,9.5,31.25,NA,4.87,32,32.5,119,NA,NA,NA,3929833
2020,Darryl Williams,mississippi state,C,74.38,304,9.75,32.13,NA,5.23,23,25.5,102,4.76,NA,NA,3917290
2020,Raequan Williams,michigan state,DT,76,308,9.38,33.38,NA,5.04,17,25.5,101,4.78,NA,NA,3929834
2020,Jedrick Wills,alabama,OT,76.25,312,10,34.25,NA,5.05,NA,34.5,113,4.84,NA,NA,NA
2020,Isaiah Wilson,georgia,OT,78.5,350,10.25,35.5,NA,5.32,26,29,110,5.07,NA,NA,NA
2020,Logan Wilson,wyoming,LB,74.13,241,9.5,32.38,NA,4.63,21,32,121,4.27,7.26,NA,3918330
2020,Robert Windsor,penn state,DT,76.5,290,9.88,33.13,NA,4.9,21,28.5,111,4.44,NA,NA,3929658
2020,Antoine Winfield,minnesota,S,69.13,203,9.5,30.13,NA,4.45,NA,36,124,NA,NA,NA,NA
2020,Tristan Wirfs,iowa,OT,76.88,320,10.25,34,NA,4.85,24,36.5,121,4.68,NA,NA,4240589
2020,Steven Wirtel,iowa state,LS,76,227,9.38,31.13,NA,4.76,NA,26,120,4.28,NA,NA,NA
2020,Charlie Woerner,georgia,TE,76.63,244,10,31.13,NA,4.78,21,34.5,120,4.46,NA,NA,4035020
2020,DJ Wonnum,south carolina,DE,76.63,258,10.5,34.13,NA,4.73,20,34.5,123,4.44,NA,NA,4038849
2020,Dom Wood-Anderson,tennessee,TE,76,257,9.75,33.13,NA,4.92,NA,35,119,NA,NA,NA,NA
2020,David Woodward,utah state,ILB,73.75,230,9.25,31.63,NA,4.79,16,33.5,114,4.37,NA,NA,4048677
2020,Chase Young,ohio state,DE,76.88,264,10,33.75,NA,NA,NA,NA,NA,NA,NA,NA,4241986
2020,Jabari Zuniga,florida,DE,75.38,264,10.38,32.88,NA,4.64,29,33,127,NA,NA,NA,3915123
2019,Britton Abbott,oklahoma state,FB,74.25,246,9.25,32.25,NA,4.75,19,36,111,4.45,7.45,NA,3122417
2019,Micah Abernathy,tennessee,FS,71.63,195,9.38,31,NA,4.52,15,38.5,130,4.09,6.69,NA,3915373
2019,Johnathan Abram,mississippi state,S,71.38,205,9.63,31.38,NA,4.45,NA,33.5,116,NA,NA,NA,3728305
2019,Paul Adams,missouri,OT,77.88,317,10,33.5,NA,5.18,16,27,103,4.74,NA,NA,NA
2019,Nasir Adderley,delaware,S,71.75,206,9,31,NA,4.62,19,38,129,NA,NA,NA,NA
2019,Freedom Akinmoladun,nebraska,DT,75.25,284,9.38,34.125,NA,4.96,19,33,118,4.62,7.35,NA,3116082
2019,Curtis Akins,memphis,ILB,72.88,235,9.38,32,NA,4.57,25,33,117,4.44,7.28,NA,3139626
2019,Azeez Al-Shaair,florida atlantic,LB,72.75,234,9.5,32.38,NA,NA,16,NA,NA,NA,NA,NA,3919117
2019,Otaro Alaka,texas a&m,LB,75,239,9.75,33,NA,4.82,20,36,131,4.51,7.03,NA,3122141
2019,Ed Alexander,louisiana state,DT,73.25,319,10,32,NA,5.26,28,25.5,104,5.1,8.8,NA,NA
2019,Michael Alexander,saginaw valley state (mi),FB,71.13,242,10,30.5,NA,4.68,26,33.5,117,4.51,7.53,NA,NA
2019,Terrence Alexander,louisiana state,CB,69.5,183,8.5,31,NA,4.58,7,35,115,4.55,6.94,NA,3117241
2019,Joey Alfieri,stanford,OLB,74.63,235,10,32.5,NA,4.54,17,33.5,118,4.36,7.03,NA,3117242
2019,Nick Allegretti,illinois,C,76.25,310,10.13,32.25,NA,5.32,22,29.5,103,4.66,7.56,NA,3115922
2019,Dakota Allen,texas tech,LB,72.75,232,9.25,31.25,NA,4.77,23,31.5,116,4.04,NA,NA,3139453
2019,Josh Allen,kentucky,EDG,76.88,262,8.75,33.5,NA,4.63,28,33.5,118,4.23,NA,NA,3915239
2019,Larry Allen,harvard,OG,75,307,9.25,31.5,NA,5.29,29,25.5,97,5.46,8.5,NA,NA
2019,Zach Allen,boston college,DE,76.13,281,10.13,34.75,NA,5,24,32,112,4.36,NA,NA,3915282
2019,Bryson Allen-Williams,south carolina,LB,72.63,236,9.75,31.5,NA,4.88,14,31,109,4.52,7.54,NA,3126478
2019,Jeff Allison,frenso state (ca),LB,71.88,228,10,32.25,NA,4.82,12,31,115,4.45,NA,NA,NA
2019,Ugochukwu Amadi,oregon,CB,69.38,199,9.5,31.75,NA,4.51,18,32.5,115,4.19,NA,NA,3886834
2019,Bruce Anderson,north dakota state,RB,71.25,210,9,31.5,NA,4.58,22,31,119,4.47,7.23,NA,NA
2019,Calvin Anderson,texas,OG,76.5,292,9.38,33.125,NA,5.31,30,31,112,4.45,7.2,NA,3123867
