athlete_id,pos_gp,Name,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wingspan
4685400,LB,Shemar James,73.375,226,8.75,32.125,76
4427716,LB,Jack Kiser,73.375,227,9.125,30.5,75.375
4427729,LB,Demetrius Knight,73.25,246,9.675,33.25,80.375
4685126,LB,Cody Lindenberg,74.125,239,9.375,33,77.5
4573188,LB,Nickolas Martin,72.125,222,9.675,30.675,74
4576129,LB,Jalen McLeod,73.5,247,9.5,32.75,79
4431573,LB,Smael Mondon Jr.,74.375,229,9.675,32.675,79.25
4875336,LB,Karene Reid,72,231,9.125,31.75,75.25
4430330,DB,Darien Porter,74.375,197,8.875,33.25,79.375
531300,DB,Brandon Adams,73.375,186,8.375,32.25,76
4574689,DB,Trey Amos,72.375,195,9.125,32,77.375
,DB,Johnathan Edwards,72.675,203,9,32.25,77.125
,DB,Maxwell Hariston,71.25,179,8.875,31.5,76
4431550,DB,Tommi Hill,72.25,210,9.375,33.375,79.5
5083656,DB,Bilhal Kone,73.125,186,9,31.25,74.125
4689651,DB,Mac McWilliams,70,181,8.5,30.25,72
4912847,DB,Jacob Parrish,69.875,196,8.875,31.25,75
4428350,DB,Quincy Riley,70.375,192,8.375,31.375,73.75
4594277,DB,Jaylin Smith,70.25,182,9.25,30.25,74.5
4565200,DB,Upton Stout,68.25,178,8.875,30.375,73.375
4568703,DB,Dorian Strong,72.675,179,9.375,31.125,75.125
4685596,DB,Azareye'h Thomas,73.5,191,10.125,32.5,77.25
4429249,DB,Justin Barron,75.675,226,9.375,31.75,76.125
4431194,DB,Billy Bowman Jr.,69.75,198,8.675,29.375,69.675
4426882,DB,Sebastian Castro,71,202,10,31,74.25
4431145,DB,Maxen Hook,71.875,193,9.125,32.25,75.125
4575115,DB,Dan Jackson,71.75,194,9.75,30.25,72.75
,DB,Keondre Jackson,73.75,211,9.25,32.125,78.5
4880675,DB,Rayuan Lane III,70.675,198,9.75,30.25,73.25
4683347,DB,Caleb Ransaw,70.875,196,9.5,31,74.75
4567046,DB,Trey Rucker,71.75,212,9.125,30.75,73.25
4683813,DB,Jonas Sanker,72.125,206,9.675,32.675,77
,DB,Melvin Smith Jr.,70.5,185,8.875,31,73.675
4431664,DB,Dante Trader Jr.,70.75,196,8.675,31.25,75
4432789,DB,Hunter Wohler,73.375,217,9.375,31.125,74.25
