id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock.minutes,clock.seconds,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock
401403892101879601,Alabama,SEC,Vanderbilt,SEC,Alabama,Vanderbilt,0,0,401403892,4014038921,1,8,1,12,3,3,3,42,58,4,3,false,0,Punt,"James Burnip punt for 40 yds, punt out-of-bounds at the Vandy 18",,2022-09-24T23:44:14.000Z
401403892101899401,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,0,0,401403892,4014038922,2,4,1,10,5,3,3,77,77,4,5,false,0,Punt,"Matt Hayball punt for 45 yds, fair catch by Kool-Aid McKinstry at the Alab 32",,2022-09-24T23:48:20.000Z
401403892102879301,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,3,21,401403892,4014038928,8,6,2,12,6,2,3,70,70,4,5,false,15,Punt,"Matt Hayball punt for 43 yds , Kool-Aid McKinstry returns for 15 yds to the Alab 42 Kool-Aid McKinstry fumbled, recovered by Alab Kool-Aid McKinstry",,2022-09-25T00:31:34.000Z
401403892102917501,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,3,21,401403892,40140389210,10,5,2,8,24,2,3,69,69,4,15,false,0,Punt,"Matt Hayball punt for 46 yds, fair catch by Kool-Aid McKinstry at the Alab 23",,2022-09-25T00:42:47.000Z
401403892102974901,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,3,28,401403892,40140389212,12,5,2,2,50,2,3,79,79,4,14,false,40,Punt,"Matt Hayball punt for 48 yds , Kool-Aid McKinstry returns for 40 yds to the Vandy 29 Kool-Aid McKinstry fumbled, forced by Matt Hayball, recovered by Vandy",,2022-09-25T01:00:16.000Z
401403892102996601,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,3,28,401403892,40140389213,13,6,2,0,33,2,2,64,64,4,15,false,-3,Punt,"Matt Hayball punt for 41 yds , Brian Branch returns for a loss of 3 yards to the Alab 20 Brian Branch fumbled, recovered by Alab Brian Branch",,2022-09-25T01:04:07.000Z
401403892103878601,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,3,31,401403892,40140389215,15,7,3,12,13,3,3,44,44,4,9,false,0,Punt,"Matt Hayball punt for 32 yds, downed at the Alab 12",,2022-09-25T01:31:28.000Z
401403892103948901,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,3,34,401403892,40140389217,17,7,3,5,10,3,3,83,83,4,9,false,0,Punt,"Matt Hayball punt for 38 yds, punt out-of-bounds at the Alab 45",,2022-09-25T01:50:24.000Z
401403892103987501,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,3,41,401403892,40140389219,19,5,3,1,24,3,3,82,82,4,17,false,9,Punt,"Matt Hayball punt for 46 yds , Kool-Aid McKinstry returns for 9 yds to the Alab 45",,2022-09-25T02:01:20.000Z
401403892103999901,Alabama,SEC,Vanderbilt,SEC,Alabama,Vanderbilt,41,3,401403892,40140389220,20,4,3,0,0,3,3,39,61,4,16,false,9,Punt,"James Burnip punt for 47 yds , Will Sheppard returns for 9 yds to the Vandy 23",,2022-09-25T02:04:51.000Z
401403892104876301,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,3,41,401403892,40140389221,21,7,4,12,36,3,3,63,63,4,7,false,0,Punt,"Matt Hayball punt for 50 yds, downed at the Alab 13",,2022-09-25T02:12:02.000Z
401403892104967101,Vanderbilt,SEC,Alabama,SEC,Alabama,Vanderbilt,3,48,401403892,40140389223,23,6,4,3,28,3,3,63,63,4,10,false,27,Punt,"Matt Hayball punt for 43 yds , Kool-Aid McKinstry returns for 27 yds to the Alab 47",,2022-09-25T02:37:08.000Z
401403893101866401,Arkansas,SEC,Texas A&M,SEC,Texas A&M,Arkansas,0,0,401403893,4014038931,1,6,1,13,35,3,3,60,60,4,5,false,0,Punt,"Max Fletcher punt for 25 yds, downed at the TexAM 35",,2022-09-24T23:11:49.000Z
401403893101887201,Texas A&M,SEC,Arkansas,SEC,Texas A&M,Arkansas,0,0,401403893,4014038932,2,5,1,11,27,3,3,32,68,4,13,false,0,Punt,"Nik Constantinou punt for 37 yds, punt out-of-bounds at the Ark 31",,2022-09-24T23:14:36.000Z
