id,offense,offense_conference,defense,defense_conference,home,away,offense_score,defense_score,game_id,drive_id,drive_number,play_number,period,clock.minutes,clock.seconds,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,scoring,yards_gained,play_type,play_text,ppa,wallclock
401403880101885202,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,0,7,401403880,4014038802,2,6,1,11,47,3,3,63,63,4,10,false,0,Punt,"Devyn McCormick punt for 40 yds, punt out-of-bounds at the Alab 23",,2022-09-17T20:12:40.000Z
401403880101886001,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,0,7,401403880,4014038802,2,7,1,11,39,3,3,63,63,4,10,false,0,Punt,"Devyn McCormick punt for 40 yds, punt out-of-bounds at the Alab 23",,2022-09-17T20:12:43.000Z
401403880101939301,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,0,21,401403880,4014038806,6,8,1,6,6,3,3,57,57,4,8,false,44,Punt,"Devyn McCormick punt for 42 yds , Kool-Aid McKinstry returns for 44 yds to the LaMon 41",,2022-09-17T20:31:44.000Z
401403880101974704,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,0,28,401403880,4014038808,8,8,1,2,52,3,3,65,65,4,14,false,42,Punt,"Devyn McCormick punt for 57 yds , Kool-Aid McKinstry returns for 42 yds to the 50 yard line",,2022-09-17T20:40:01.000Z
401403880101986701,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,0,28,401403880,4014038808,8,9,1,1,32,3,3,65,65,4,14,false,42,Punt,"Devyn McCormick punt for 57 yds , Kool-Aid McKinstry returns for 42 yds to the 50 yard line",,2022-09-17T20:42:02.000Z
401403880102916402,Alabama,SEC,Louisiana Monroe,Sun Belt,Alabama,Louisiana Monroe,28,7,401403880,40140388011,11,6,2,8,35,3,3,54,46,4,16,false,0,Punt,"James Burnip punt for 37 yds, fair catch by Boogie Knight at the LaMon 9",,2022-09-17T21:01:59.000Z
401403880102917501,Alabama,SEC,Louisiana Monroe,Sun Belt,Alabama,Louisiana Monroe,28,7,401403880,40140388011,11,7,2,8,24,3,3,54,46,4,16,false,0,Punt,"James Burnip punt for 37 yds, fair catch by Boogie Knight at the LaMon 9",,2022-09-17T21:02:27.000Z
401403880102979402,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,7,28,401403880,40140388012,12,14,2,2,5,2,3,59,59,4,12,false,0,Punt,"Devyn McCormick punt for 52 yds, punt out-of-bounds at the Alab 7",,2022-09-17T21:15:48.000Z
401403880102984201,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,7,28,401403880,40140388012,12,15,2,1,57,2,3,59,59,4,12,false,0,Punt,"Devyn McCormick punt for 52 yds, punt out-of-bounds at the Alab 7",,2022-09-17T21:19:25.000Z
401403880103864102,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,7,35,401403880,40140388015,15,5,3,13,58,3,3,67,67,4,2,false,20,Punt,"Devyn McCormick punt for 43 yds , Kool-Aid McKinstry returns for 20 yds to the Alab 44",,2022-09-17T21:54:11.000Z
401403880103867501,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,7,35,401403880,40140388015,15,6,3,13,24,3,3,67,67,4,2,false,20,Punt,"Devyn McCormick punt for 43 yds , Kool-Aid McKinstry returns for 20 yds to the Alab 44",,2022-09-17T21:55:28.000Z
401403880103899501,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,7,35,401403880,40140388017,17,5,3,10,4,3,3,63,63,4,19,false,29,Punt,"Devyn McCormick punt for 45 yds , Kool-Aid McKinstry returns for 29 yds to the Alab 47",,2022-09-17T22:05:30.000Z
401403880103937301,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,7,42,401403880,40140388019,19,5,3,6,26,3,3,81,81,4,3,false,0,Punt,"Devyn McCormick punt for 36 yds, punt out-of-bounds at the Alab 45",,2022-09-17T22:16:36.000Z
401403880103977601,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,7,49,401403880,40140388021,21,5,3,2,23,3,3,66,66,4,1,false,1,Punt,"Devyn McCormick punt for 48 yds , Kool-Aid McKinstry returns for 1 yd to the Alab 19",,2022-09-17T22:29:54.000Z
401403880104849901,Alabama,SEC,Louisiana Monroe,Sun Belt,Alabama,Louisiana Monroe,49,7,401403880,40140388022,22,7,4,15,0,3,3,53,47,4,7,false,0,Punt,James Burnip punt for 47 yds for a touchback,,2022-09-17T22:36:57.000Z
401403880104854601,Alabama,SEC,Louisiana Monroe,Sun Belt,Alabama,Louisiana Monroe,49,7,401403880,40140388022,22,8,4,14,53,3,3,53,47,4,7,false,0,Punt,James Burnip punt for 47 yds for a touchback,,2022-09-17T22:37:01.000Z
401403880104894601,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,7,56,401403880,40140388024,24,5,4,10,53,2,3,64,64,4,9,false,34,Punt,"Braxton Guilbeau punt for 47 yds , Isaiah Bond returns for 34 yds to the LaMon 49",,2022-09-17T22:51:03.000Z
401403880104939902,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,7,63,401403880,40140388026,26,5,4,6,0,1,3,76,76,4,13,false,0,Punt,"Braxton Guilbeau punt for 36 yds, punt out-of-bounds at the Alab 40",,2022-09-17T23:10:11.000Z
401403880104945401,Louisiana Monroe,Sun Belt,Alabama,SEC,Alabama,Louisiana Monroe,7,63,401403880,40140388026,26,6,4,5,45,1,3,76,76,4,13,false,0,Punt,"Braxton Guilbeau punt for 36 yds, punt out-of-bounds at the Alab 40",,2022-09-17T23:10:31.000Z
401403881101896501,Missouri State,MVFC,Arkansas,SEC,Arkansas,Missouri State,0,0,401403881,4014038811,1,11,1,10,34,3,3,58,58,4,15,false,0,Punt,"Grant Burkett punt for 36 yds , Bryce Stephens returns for no gain to the Ark 42 ARKANSAS Penalty, Offensive Holding (10 Yards) to the Ark 27",,2022-09-17T23:10:26.000Z
401403881101896506,Arkansas,SEC,Missouri State,MVFC,Arkansas,Missouri State,0,0,401403881,4014038812,2,4,1,10,34,3,3,33,67,4,4,false,0,Punt,Max Fletcher punt for 47 yds,,2022-09-17T23:12:27.000Z
401403881101905601,Arkansas,SEC,Missouri State,MVFC,Arkansas,Missouri State,0,0,401403881,4014038812,2,5,1,9,43,3,3,33,67,4,4,false,0,Punt,Max Fletcher punt for 47 yds,,2022-09-17T23:12:44.000Z
401403881101924001,Missouri State,MVFC,Arkansas,SEC,Arkansas,Missouri State,0,0,401403881,4014038813,3,4,1,7,59,3,2,83,83,4,13,false,0,Punt,"Grant Burkett punt for 51 yds , Bryce Stephens returns for no gain to the Ark 17 ARKANSAS Penalty, Offensive Holding (10 Yards) to the Ark 30",,2022-09-17T23:18:22.000Z
401403881102879101,Arkansas,SEC,Missouri State,MVFC,Arkansas,Missouri State,0,10,401403881,4014038818,8,6,2,12,8,-1,3,25,75,4,10,false,18,Punt,"Max Fletcher punt for 38 yds , Naveon Mitchell returns for 18 yds to the Ark 45",,2022-09-17T23:57:52.000Z
