Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,athlete_id
2024,Malachi Corley,Western Kentucky,WR,70.63,207,9.13,32.13,NA,4.56,NA,NA,NA,4.22,NA,NA,4613104
2024,Blake Corum,Michigan,RB,67.75,205,9,28.88,NA,4.53,27,35.5,NA,4.12,6.82,NA,4429096
2024,Jacob Cowing,Arizona,WR,68.38,168,9,29.25,NA,4.38,13,36,119,4.32,7.02,NA,4575665
2024,Frank Crum,Wyoming,OT,80.25,313,10.5,33.88,NA,4.94,22,31.5,114,4.73,7.39,NA,NA
2024,Jaden Crumedy,Mississippi State,DT,75.88,301,9.5,33,NA,4.97,14,29.5,105,4.66,7.7,NA,4362910
2024,Devin Culp,Washington,TE,75.13,231,9.25,32.88,NA,4.47,NA,35,118,4.31,7.28,NA,4361112
2024,Jayden Daniels,Louisiana State,QB,75.25,210,9.38,32.5,NA,NA,NA,NA,NA,NA,NA,NA,4426348
2024,Anim Dankwah,Howard (DC),OT,79.75,349,9.75,35.13,NA,5.44,24,27.5,88,5.21,8.46,NA,NA
2024,Isaiah Davis,South Dakota State,RB,72.25,218,10.25,31.13,NA,4.57,23,34.5,119,4.3,NA,NA,NA
2024,Ray Davis,Kentucky,RB,68.38,211,8.88,30.25,NA,4.52,21,35,119,4.51,NA,NA,5100357
2024,Tyler Davis,Clemson,DT,74,301,9.25,31.38,NA,5.02,29,28.5,108,5,7.74,NA,NA
2024,Cooper DeJean,Iowa,CB,72.5,203,9.63,31.13,NA,NA,16,NA,NA,NA,NA,NA,4682618
2024,Kalen DeLoach,Florida State,OLB,71.5,216,8.63,31.5,NA,4.47,23,30.5,119,NA,NA,NA,4427291
2024,MJ Devonshire,Pittsburgh,CB,70.75,186,8.75,32.88,NA,4.45,10,38.5,124,4.35,7.12,NA,4427068
2024,Marcellas Dial,South Carolina,CB,71.75,190,8.88,32,NA,4.46,16,40.5,129,4.42,7.29,NA,4875079
2024,Johnny Dixon,Penn State,CB,70.75,188,8.63,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Brandon Dorlus,Oregon,DT,75,283,9.38,33.25,NA,4.85,NA,30.5,111,4.85,7.43,NA,4427090
2024,Willie Drew,Virginia State,CB,71.63,191,9.5,32,NA,4.46,13,36,115,4.42,6.9,NA,NA
2024,Ethan Driskell,Marshall (WV),OT,80.38,313,10.5,35.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Khalid Duke,Kansas State,DE,75.25,253,9.25,32.63,NA,4.79,21,34,117,4.6,7.41,NA,4427108
2024,Justin Eboigbe,Alabama,DT,76.38,297,9.75,33.38,NA,5.18,NA,28,NA,NA,NA,NA,4567138
2024,Daijun Edwards,Georgia,RB,69.63,207,9.5,29.75,NA,4.71,15,30,114,4.32,7.2,NA,4429610
2024,Kingsley Eguakun,Florida,C,75.5,304,10.13,32.5,NA,NA,26,32,109,4.51,7.57,NA,NA
2024,Tommy Eichenberg,Ohio State,ILB,74.38,233,9.25,31.63,NA,NA,NA,32.5,116,4.24,7.02,NA,4429560
2024,Jonah Elliss,Utah,DE,74.13,248,10.5,33,NA,NA,NA,NA,NA,NA,NA,NA,4687592
2024,Audric Estime,Notre Dame,RB,71.38,221,10.25,32.38,NA,4.71,23,38,125,NA,NA,NA,4569682
2024,Josiah Ezirim,Eastern Kentucky,OT,77.75,329,10.75,35.75,NA,5.15,28,29.5,113,NA,NA,NA,NA
