Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle,Rec,Yds,Avg,TD,YP,Games Played
2011,Leonard Hankerson,Miami (FL),WR,73.5,209,10.63,32.25,,4.4,14,36,117,4.21,6.94,11.37,134,2160,16.1,22,4,42
2011,Dwayne Harris,East Carolina (NC),WR,70.38,203,10.13,31.13,,4.53,10,34,111,4.21,6.77,11.68,268,3001,11.2,20,4,50
2011,Andre Holmes,Hillsdale (MI),WR,76.38,210,8.63,34,,4.51,11,35,130,4.31,6.69,11.4,,,,,,
2011,Lestar Jean,Florida Atlantic,WR,75,215,9,33,,4.61,14,37.5,113,4.43,7.45,11.68,,,,,,
2011,Jerrel Jernigan,Troy (AL),WR,68.88,185,9.25,32,,4.46,11,37.5,117,4.25,7.07,11.57,262,3128,11.9,18,4,50
2011,Ronald Johnson,Southern California,WR,71.25,199,9,30.75,,4.46,16,36,121,4.32,6.75,,138,1750,12.7,20,4,47
2011,Julio Jones,Alabama,WR,74.75,220,9.75,33.75,,4.34,17,38.5,135,4.25,6.66,11.07,179,2653,14.8,15,3,40
2011,Jeremy Kerley,Texas Christian,WR,69.5,189,9,30,,4.56,16,34.5,120,4.03,6.81,,120,1299,10.8,12,4,50
2011,Greg Little,North Carolina,WR,74.5,231,9.13,33.25,,4.51,27,40.5,129,4.21,6.8,11.28,166,805,4.8,6,3,37
2011,Ricardo Lockette,Fort Valley State (GA),WR,74.13,211,9.75,33.75,,4.34,21,35.5,127,4.19,7.15,11.27,,,,,,
2011,Jeff Maehl,Oregon,WR,72.88,190,9.13,31.5,,4.56,7,33.5,115,3.94,6.42,10.88,178,2311,13,24,4,52
2011,Scotty McKnight,Colorado,WR,70.5,182,,,,4.54,12,32.5,125,4.11,6.79,,219,2588,11.8,22,4,49
2011,Denarius Moore,Tennessee,WR,71.63,194,9.5,33,,4.43,13,36,118,4.15,6.78,,112,2004,17.9,18,4,52
2011,Joseph Morgan,Michigan State,WR,72.5,189,9.125,31,,4.48,10,35.5,123,4.25,6.91,,,,,,,
2011,Orenthal Murdock,Fort Hays State (KS),WR,70.5,197,9,32,,4.59,15,34.5,116,4.37,,,,,,,,
2011,Jamar Newsome,Central Florida,WR,72.5,200,9,32.88,,4.56,13,38.5,129,4.22,6.83,,65,986,15.2,7,3,36
2011,Niles Paul,Nebraska,WR,72.88,224,8.88,31,,4.45,24,34.5,117,4.14,6.9,11.75,103,1532,14.9,5,4,46
2011,Austin Pettis,Boise State,WR,74.63,209,9.75,31.75,,4.56,14,33.5,120,3.88,6.68,11.14,229,2838,12.4,39,4,52
2011,Kealoha Pilares,Hawaii,WR,69.88,199,8.75,30.5,,4.56,19,39,122,4.15,6.96,,209,2491,11.9,22,4,47
2011,Aldrick Robinson,Southern Methodist (TX),WR,69.63,184,8.75,29.5,,4.35,17,40,126,4.09,6.65,11.01,181,3314,18.3,30,4,46
2011,Greg Salas,Hawaii,WR,73.13,210,9.25,32,,4.53,15,37,120,4.1,6.65,11.21,285,4345,15.2,26,4,48
2011,DeMarco Sampson,San Diego State,WR,74,204,9.63,33,,4.69,14,34,117,4.3,7.04,,146,2242,15.4,18,4,48
2011,Jock Sanders,West Virginia,WR,66.13,181,8.88,28.25,,4.5,19,34.5,121,4.13,6.78,,206,1980,9.6,14,4,52
2011,Dane Sanzenbacher,Ohio State,WR,71.38,182,8.25,30.5,,4.56,,33.5,118,3.97,6.46,10.94,124,1879,15.2,19,4,50
2011,Cecil Shorts,Mount Union (OH),WR,71.75,205,9.25,31.63,,4.58,21,34.5,114,4.07,6.5,11.18,,,,,,
2011,Keith Smith,Purdue,WR,74.25,214,9.625,32.63,,,,,,,,,158,1709,10.8,8,4,37
2011,Torrey Smith,Maryland,WR,72.88,204,8.63,32.63,,4.41,19,41,126,4.13,6.72,11.33,152,2215,16.6,19,3,38
2011,Owen Spencer,North Carolina State,WR,73.88,195,9.5,33.38,,4.51,6,37.5,125,4.18,6.86,11.16,126,2441,19.4,15,4,49
2011,Terrence Toliver,Louisiana State,WR,75.5,212,10,32,,4.62,,32,122,4.03,6.48,11.4,126,1820,14.4,12,4,53
2011,Terrance Turner,Indiana,WR,73.75,220,9.875,33.5,,4.66,16,41,128,4.15,6.77,,143,1436,10,4,4,41
2011,Ryan Whalen,Stanford,WR,73.13,202,9,30,,4.53,18,38.5,123,4.09,6.67,11.21,140,1884,13.5,7,4,48
2011,Marshall Williams,Wake Forest,WR,72.75,188,9.25,32,,4.56,9,35.5,123,4.09,6.61,11.38,110,1529,13.9,10,3,37
2011,Jimmy Young,Texas Christian,WR,72,204,9,31.38,,4.5,19,37,115,4.18,7.08,,147,2316,15.8,13,4,52
2011,Titus Young,Boise State,WR,71.38,174,9,30.88,,4.43,,33.5,123,4.34,6.96,,204,3063,15,25,4,43
2010,Seyi Ajirotutu,Frenso State (CA),WR,75.38,204,9.38,32.63,,4.6,14,36,115,4.39,7.22,,129,1997,15.5,12,4,46
2010,Danario Alexander,Missouri,WR,76.63,215,10,34.75,,,,,,,,,191,2778,14.5,22,4,47
2010,Alric Arnett,West Virginia,WR,73.75,188,9,32.5,,4.52,,40,122,4.43,7.03,,78,1052,13.5,9,2,26
2010,Terrence Austin,UCLA,WR,69.63,165,,,,4.56,14,34,120,4.32,7.27,,109,1192,10.9,5,4,47
2010,Brandon Banks,Kansas State,WR,66.75,149,8.25,30,,4.43,,31,113,4.29,6.88,,123,1754,14.3,10,2,24
2010,Freddie Barnes,Bowling Green (OH),WR,72,215,,,,4.71,11,29,104,4.59,7.27,,297,3290,11.1,30,4,47
2010,Chris Bell,Norfolk State (VA),WR,74.13,211,9.13,32.25,,4.5,15,35,117,4.35,6.76,,,,,,,
2010,Arrelious Benn,Illinois,WR,73,219,9.38,32.25,,4.57,20,37,118,4.36,6.89,,159,2221,14,7,3,37
2010,Nyan Boateng,California,WR,73,204,9.38,33.25,,4.75,14,36,112,4.69,7.35,,46,707,15.4,7,3,28
2010,Dezmon Briscoe,Kansas,WR,74,207,9.5,33.5,,4.66,9,33,115,4.57,7.1,,219,3240,14.8,31,3,37
2010,Antonio Brown,Central Michigan,WR,70.13,186,9,31,,4.56,13,33.5,105,4.18,6.98,,305,3199,10.5,22,3,41
2010,Dez Bryant,Oklahoma State,WR,74,225,9.75,34,,4.56,13,36.5,130,4.5,7.21,,147,2425,16.5,29,3,28
2010,Chris Carter,UC-Davis,WR,71.38,191,9.38,30.75,,,12,,,,,,,,,,,
2010,Riley Cooper,Florida,WR,75.38,222,10.38,32.63,,4.53,,33,114,4.19,6.84,,81,1496,18.5,18,4,51
2010,Eric Decker,Minnesota,WR,75.13,217,9.13,31,,4.54,15,,,,,,227,3119,13.7,24,4,45
